payload_scale,raw_input_scale,mean_latency_ms,deadline_miss_rate,mean_upload_kb,selective_error,action_local_full_rate,action_cloud_raw_rate,action_split_l1_rate,action_split_l2_rate,action_split_l3_rate
1.0,128.0,26.923355643991748,8.75e-05,0.005966666666666666,0.06689991712379964,0.02915208333333333,0.0,0.00037291666666666663,0.0,0.0
0.5,128.0,26.922297798191767,0.000125,0.00475,0.06689991712379964,0.02893125,0.0,0.00059375,0.0,0.0
0.25,128.0,26.91973033134991,0.00017708333333333335,0.004158333333333333,0.06689991712379964,0.028485416666666662,0.0,0.0010395833333333333,0.0,0.0
0.125,128.0,26.917648203731652,0.00020416666666666665,0.0026416666666666667,0.06689991712379964,0.028204166666666662,0.0,0.0013208333333333334,0.0,0.0
