sweep,value,exit_rate,deadline_miss_rate,mean_latency_ms,selective_error
alpha,0.05,0.9502499999999999,0.0007083333333333335,30.090501170617394,0.0448608940990348
alpha,0.1,0.9704750000000001,0.0005229166666666665,26.775758532678857,0.06689991712379964
alpha,0.15,0.956075,0.0006666666666666666,25.016957944872797,0.08270467026693999
alpha,0.2,0.9327416666666668,0.0010145833333333335,24.693637902904065,0.08880902102396326
edge_gflops,2.5,0.9704750000000001,0.262875,52.94634794042922,0.06689991712379964
edge_gflops,5.0,0.9704750000000001,0.0005229166666666665,26.775758532678857,0.06689991712379964
edge_gflops,10.0,0.9704750000000001,2.0833333333333334e-06,13.461375329990148,0.06689991712379964
edge_gflops,20.0,0.9704750000000001,0.0,6.7306247825,0.06689991712379964
