method,profile,accuracy,mean_latency_ms,p95_latency_ms,deadline_miss_rate,mean_upload_kb,mean_energy_j,exit_rate,offload_rate,local_rate,selective_error,action_cloud_raw_rate,action_split_l1_rate,action_split_l2_rate,action_split_l3_rate,action_local_full_rate,dataset,seed,alpha,raw_input_scale,payload_scale
coda_controller,wifi,0.9958333333333333,60.62621534920621,60.7726,0.0031666666666666666,0.03966666666666667,0.02995603316666667,0.0,0.019833333333333335,0.9801666666666666,0.0,0.0,0.019833333333333335,0.0,0.0,0.9801666666666666,mnist,13,0.1,128.0,0.125
cloud_only,lte,0.9958333333333333,172.33375042217227,284.60526560994543,0.9971666666666666,128.0,0.06400000000000002,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,mnist,13,0.1,128.0,0.125
deadline_greedy,lte,0.9958333333333333,92.73866507206287,149.1645019579772,0.7575,2.0,0.008706999999999996,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,mnist,13,0.1,128.0,0.125
oracle_split,lte,0.9958333333333333,92.73851182779188,149.1645019579772,0.7575,2.021,0.008716215499999997,0.0,1.0,0.0,0.0,0.00016666666666666666,0.9998333333333334,0.0,0.0,0.0,mnist,13,0.1,128.0,0.125
coda_split_controller,lte,0.9958333333333333,92.73866507206287,149.1645019579772,0.7575,2.0,0.008706999999999996,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,mnist,13,0.1,128.0,0.125
coda_controller,lte,0.9958333333333333,60.772600000000004,60.7726,0.0,0.0,0.030386000000000007,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,mnist,13,0.1,128.0,0.125
cloud_only,congested,0.9958333333333333,421.9811781017757,845.1956682765081,0.9998333333333334,128.0,0.06400000000000002,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,mnist,13,0.1,128.0,0.125
deadline_greedy,congested,0.9958333333333333,154.13221866821425,291.8105009996638,0.951,2.0,0.008706999999999996,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,mnist,13,0.1,128.0,0.125
oracle_split,congested,0.9958333333333333,154.13221866821425,291.8105009996638,0.951,2.0,0.008706999999999996,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,mnist,13,0.1,128.0,0.125
coda_split_controller,congested,0.9958333333333333,154.13221866821425,291.8105009996638,0.951,2.0,0.008706999999999996,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,mnist,13,0.1,128.0,0.125
coda_controller,congested,0.9958333333333333,60.772600000000004,60.7726,0.0,0.0,0.030386000000000007,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,mnist,13,0.1,128.0,0.125
cloud_only,mixed,0.9958333333333333,360.27264247085077,1054.7623380305727,0.9788333333333333,128.0,0.06400000000000002,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,mnist,13,0.1,128.0,0.125
deadline_greedy,mixed,0.9958333333333333,198.07449453935826,525.0661544104317,0.8768333333333334,2.0,0.008706999999999996,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,mnist,13,0.1,128.0,0.125
oracle_split,mixed,0.9958333333333333,197.98342532619154,525.0661544104317,0.8763333333333333,4.666166666666666,0.009886405166666666,0.0,1.0,0.0,0.0,0.021166666666666667,0.978,0.0008333333333333334,0.0,0.0,mnist,13,0.1,128.0,0.125
coda_split_controller,mixed,0.9958333333333333,198.07449453935826,525.0661544104317,0.8768333333333334,2.0,0.008706999999999996,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,mnist,13,0.1,128.0,0.125
coda_controller,mixed,0.9958333333333333,60.772600000000004,60.7726,0.0,0.0,0.030386000000000007,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,mnist,13,0.1,128.0,0.125
cloud_only,wifi,0.9968333333333333,68.75204230794081,108.97724469473822,0.39316666666666666,128.0,0.06400000000000002,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,mnist,29,0.1,128.0,0.125
deadline_greedy,wifi,0.9968333333333333,56.293551344834356,94.29759617586814,0.19066666666666668,2.0,0.008706999999999996,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,mnist,29,0.1,128.0,0.125
oracle_split,wifi,0.9968333333333333,56.22887745420648,94.27115421701411,0.19016666666666668,6.368,0.010623823999999997,0.0,1.0,0.0,0.0,0.034666666666666665,0.9653333333333334,0.0,0.0,0.0,mnist,29,0.1,128.0,0.125
coda_split_controller,wifi,0.9968333333333333,56.293551344834356,94.29759617586814,0.19066666666666668,2.0,0.008706999999999996,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,mnist,29,0.1,128.0,0.125
coda_controller,wifi,0.9968333333333333,60.7541859300441,60.7726,0.0013333333333333333,0.011666666666666667,0.030259539166666675,0.0,0.005833333333333334,0.9941666666666666,0.0,0.0,0.005833333333333334,0.0,0.0,0.9941666666666666,mnist,29,0.1,128.0,0.125
cloud_only,lte,0.9968333333333333,172.5322606803272,282.5460394115494,0.9981666666666666,128.0,0.06400000000000002,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,mnist,29,0.1,128.0,0.125
deadline_greedy,lte,0.9968333333333333,92.64847055364497,148.25562116032583,0.762,2.0,0.008706999999999996,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,mnist,29,0.1,128.0,0.125
oracle_split,lte,0.9968333333333333,92.64847055364497,148.25562116032583,0.762,2.0,0.008706999999999996,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,mnist,29,0.1,128.0,0.125
coda_split_controller,lte,0.9968333333333333,92.64847055364497,148.25562116032583,0.762,2.0,0.008706999999999996,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,mnist,29,0.1,128.0,0.125
coda_controller,lte,0.9968333333333333,60.772600000000004,60.7726,0.0,0.0,0.030386000000000007,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,mnist,29,0.1,128.0,0.125
cloud_only,congested,0.9968333333333333,418.43737890895846,847.0820166405456,1.0,128.0,0.06400000000000002,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,mnist,29,0.1,128.0,0.125
deadline_greedy,congested,0.9968333333333333,151.99805553723172,295.91866536646074,0.948,2.0,0.008706999999999996,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,mnist,29,0.1,128.0,0.125
oracle_split,congested,0.9968333333333333,151.99768591547416,295.91866536646074,0.948,2.021,0.008716215499999997,0.0,1.0,0.0,0.0,0.00016666666666666666,0.9998333333333334,0.0,0.0,0.0,mnist,29,0.1,128.0,0.125
coda_split_controller,congested,0.9968333333333333,151.99805553723172,295.91866536646074,0.948,2.0,0.008706999999999996,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,mnist,29,0.1,128.0,0.125
coda_controller,congested,0.9968333333333333,60.772600000000004,60.7726,0.0,0.0,0.030386000000000007,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,mnist,29,0.1,128.0,0.125
cloud_only,mixed,0.9968333333333333,344.23531445048405,1022.4665105926525,0.9756666666666667,128.0,0.06400000000000002,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,mnist,29,0.1,128.0,0.125
deadline_greedy,mixed,0.9968333333333333,187.2629968895133,503.65108993982153,0.8705,2.0,0.008706999999999996,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,mnist,29,0.1,128.0,0.125
oracle_split,mixed,0.9968333333333333,187.16573853909233,503.65108993982153,0.8696666666666667,5.065,0.010063306999999997,0.0,1.0,0.0,0.0,0.024333333333333332,0.9746666666666667,0.001,0.0,0.0,mnist,29,0.1,128.0,0.125
coda_split_controller,mixed,0.9968333333333333,187.2629968895133,503.65108993982153,0.8705,2.0,0.008706999999999996,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,mnist,29,0.1,128.0,0.125
coda_controller,mixed,0.9968333333333333,60.772600000000004,60.7726,0.0,0.0,0.030386000000000007,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,mnist,29,0.1,128.0,0.125
cloud_only,wifi,0.9955,68.60068226782298,109.49650234279882,0.37933333333333336,128.0,0.06400000000000002,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,mnist,42,0.1,128.0,0.125
deadline_greedy,wifi,0.9955,56.30598978995748,95.26199132122284,0.187,2.0,0.008706999999999996,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,mnist,42,0.1,128.0,0.125
oracle_split,wifi,0.9955,56.24929288727594,95.26199132122284,0.18583333333333332,6.179,0.010540884499999997,0.0,1.0,0.0,0.0,0.033166666666666664,0.9668333333333333,0.0,0.0,0.0,mnist,42,0.1,128.0,0.125
coda_split_controller,wifi,0.9955,56.30598978995748,95.26199132122284,0.187,2.0,0.008706999999999996,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,mnist,42,0.1,128.0,0.125
coda_controller,wifi,0.9955,60.733424018021516,60.7726,0.0016666666666666668,0.017333333333333333,0.030198115333333338,0.0,0.008666666666666666,0.9913333333333333,0.0,0.0,0.008666666666666666,0.0,0.0,0.9913333333333333,mnist,42,0.1,128.0,0.125
cloud_only,lte,0.9955,171.8738315318409,280.1536851609012,0.9966666666666667,128.0,0.06400000000000002,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,mnist,42,0.1,128.0,0.125
deadline_greedy,lte,0.9955,93.54944059966935,150.37970291869138,0.7586666666666667,2.0,0.008706999999999996,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,mnist,42,0.1,128.0,0.125
oracle_split,lte,0.9955,93.54847737806458,150.37970291869138,0.7586666666666667,2.021,0.008716215499999997,0.0,1.0,0.0,0.0,0.00016666666666666666,0.9998333333333334,0.0,0.0,0.0,mnist,42,0.1,128.0,0.125
coda_split_controller,lte,0.9955,93.54944059966935,150.37970291869138,0.7586666666666667,2.0,0.008706999999999996,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,mnist,42,0.1,128.0,0.125
coda_controller,lte,0.9955,60.772600000000004,60.7726,0.0,0.0,0.030386000000000007,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,mnist,42,0.1,128.0,0.125
cloud_only,congested,0.9955,418.7206071114363,838.160082863366,1.0,128.0,0.06400000000000002,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,mnist,42,0.1,128.0,0.125
deadline_greedy,congested,0.9955,153.49863655946865,295.84540685033477,0.9516666666666667,2.0,0.008706999999999996,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,mnist,42,0.1,128.0,0.125
oracle_split,congested,0.9955,153.4984313860173,295.84540685033477,0.9516666666666667,1.9996666666666667,0.008710614666666663,0.0,1.0,0.0,0.0,0.0,0.9996666666666667,0.0003333333333333333,0.0,0.0,mnist,42,0.1,128.0,0.125
